id,actual_index,display_index,display_figure,overlap,estimated_location,estimation_error,judge,item,rt,drew_from,right_location_line,right_location_bar
1,94,3,RMBM,0,40.9375,10.0604,bar,both,2.8268,top,91.8848,30.8771
1,77,79,RMBH,0,46.8164,10.0571,bar,both,4.9822,top,94.7097,36.7593
1,183,107,BH,1,45.25,9.9677,bar,one,1.5121,bottom,0,35.2823
1,167,157,BL,1,37.6719,9.8599,bar,one,1.7994,bottom,0,27.812
1,117,103,RMBH,0,46.7656,9.7971,bar,both,2.4555,top,93.4214,36.9685
1,63,16,RMBL,0,37.3203,9.785,bar,both,2.1355,bottom,94.2716,27.5353
1,160,191,BM,1,44.2031,9.7432,bar,one,1.9344,top,0,34.4599
1,113,61,RMBL,0,32.9688,9.6886,bar,both,1.7475,bottom,95.0758,23.2802
1,182,43,BL,1,38.0742,9.5377,bar,one,2.506,bottom,0,28.5365
1,88,14,RMBL,0,36.2148,9.4948,bar,both,2.2868,bottom,91.8985,26.72
1,158,48,BL,1,35.0742,9.4326,bar,one,1.9502,bottom,0,25.6416
1,168,108,BH,1,46.4492,9.0256,bar,one,2.0511,top,0,37.4236
1,83,55,RMBL,0,35.3203,8.8436,bar,both,1.8488,bottom,90.9893,26.4767
1,101,106,RLBM,0,42.793,8.5635,bar,both,1.5801,bottom,81.3941,34.2295
1,188,112,BL,1,33.7305,8.3751,bar,one,1.8657,top,0,25.3554
1,99,25,RMBM,0,43.2852,8.2016,bar,both,1.95,bottom,95.4624,35.0836
1,192,76,BH,1,44.8477,7.9634,bar,one,1.7138,bottom,0,36.8843
1,118,164,RMBL,0,36.1289,7.708,bar,both,2.3045,bottom,96.2963,28.4209
1,187,172,BM,1,37.4766,7.2167,bar,one,1.9337,bottom,0,30.2599
1,165,159,BH,1,45.1445,6.9564,bar,one,1.9339,bottom,0,38.1881
1,170,32,BL,1,32.1094,6.5398,bar,one,2.0009,bottom,0,25.5696
1,161,35,BL,1,32.9688,6.5038,bar,one,1.7641,bottom,0,26.465
1,116,70,RLBM,0,37.1797,5.6236,bar,both,1.7981,bottom,80.7316,31.5561
1,184,13,BM,1,37.8828,4.6929,bar,one,2.2864,bottom,0,33.1899
1,152,12,RL,0,86.957,4.0954,line,one,2.5228,bottom,82.8616,0
1,143,125,RL,0,87.3477,4.0808,line,one,2.1685,top,83.2669,0
1,128,95,RL,0,88.1211,3.8143,line,one,1.7482,top,84.3068,0
1,89,130,RMBM,0,38.1094,3.6675,bar,both,2.473,bottom,95.5166,34.4419
1,153,122,RH,0,107.418,1.6934,line,one,1.8657,top,105.7246,0
1,31,155,RLBM,0,80.3438,1.6197,line,both,1.6978,bottom,78.7241,31.3737
1,131,60,RL,0,83.9922,1.5757,line,one,2.1186,bottom,82.4165,0
1,137,123,RL,0,81.3438,0.25175,line,one,1.9166,bottom,81.092,0
1,57,124,RMBH,0,92.5742,0.23381,line,both,1.966,top,92.3404,39.7276
1,3,7,RMBL,0,95.8398,0.14098,line,both,1.9344,top,95.6988,25.0183
1,140,154,RL,0,82.0469,-0.057601,line,one,1.7317,top,82.1045,0
1,42,27,RMBH,0,91.7695,-0.7606,line,both,2.4551,top,92.5301,35.9307
1,146,8,RL,0,80.9375,-0.86015,line,one,2.0852,bottom,81.7977,0
1,39,132,RMBM,0,92.2266,-1.0461,line,both,1.6638,top,93.2727,33.872
1,145,189,RM,0,97.5938,-1.0721,line,one,1.4961,top,98.6659,0
1,124,180,RM,0,89.5234,-1.3764,line,one,1.8156,top,90.8998,0
1,14,183,RMBM,0,91.7656,-1.7951,line,both,1.698,bottom,93.5607,34.1559
1,13,153,RMBL,0,96.8398,-2.2001,line,both,1.7146,top,99.0399,26.9537
1,130,2,RM,0,91.8164,-2.2176,line,one,1.7318,bottom,94.034,0
1,125,187,RL,0,79.0508,-2.302,line,one,2.2714,top,81.3528,0
1,51,9,RLBM,0,78.2383,-2.4343,line,both,2.1697,bottom,80.6726,30.6283
1,156,144,RH,0,102.8047,-2.6981,line,one,1.9831,top,105.5028,0
1,26,30,RLBM,0,77.4805,-2.7203,line,both,1.714,bottom,80.2008,32.2744
1,122,104,RL,0,75.7266,-2.8871,line,one,1.6976,bottom,78.6137,0
1,148,78,RM,0,90.3594,-3.3828,line,one,2.2192,bottom,93.7422,0
1,41,185,RLBM,0,77.5391,-3.9223,line,both,1.7986,top,81.4614,32.6671
1,36,53,RLBM,0,77.6797,-4.0083,line,both,2.1187,top,81.688,34.091
1,50,170,RHBM,0,101.3438,-4.0967,line,both,1.6978,bottom,105.4405,28.9548
1,16,71,RLBM,0,76.6445,-4.1496,line,both,2.0844,top,80.7941,32.3517
1,56,120,RLBM,0,75.0273,-4.2451,line,both,2.203,bottom,79.2724,36.0276
1,133,31,RM,0,89.9609,-4.2572,line,one,1.952,top,94.2181,0
1,154,94,RM,0,89.0156,-4.3072,line,one,1.9161,top,93.3228,0
1,1,166,RLBM,0,79.6406,-4.3328,line,both,1.7816,bottom,83.9734,32.7187
1,155,101,RL,0,80.3438,-4.4399,line,one,1.5796,bottom,84.7837,0
1,139,44,RM,0,88.418,-4.4698,line,one,4.8811,top,92.8878,0
1,134,46,RL,0,81.3477,-4.4901,line,one,2.0851,top,85.8378,0
1,135,171,RH,0,102.4492,-4.8584,line,one,2.1699,bottom,107.3076,0
1,11,81,RLBM,0,77.2188,-5.0371,line,both,1.9819,bottom,82.2559,27.8312
1,142,18,RM,0,89.957,-5.093,line,one,1.8992,bottom,95.05,0
1,129,58,RH,0,101.8594,-5.1717,line,one,2.2028,top,107.0311,0
1,22,37,RMBH,0,87.7148,-5.1734,line,both,1.6643,top,92.8882,37.2349
1,24,23,RMBM,0,89.7695,-5.2229,line,both,1.9839,top,94.9924,35.677
1,54,15,RMBM,0,92.2734,-5.3671,line,both,2.1856,bottom,97.6405,32.6343
1,53,82,RMBL,0,92.332,-5.4846,line,both,2.6408,top,97.8166,28.2221
1,38,119,RMBL,0,93.0312,-5.5457,line,both,1.8154,top,98.5769,25.9377
1,121,116,RM,0,87.3125,-5.5691,line,one,2.2198,top,92.8816,0
1,23,182,RMBL,0,88.3086,-5.6996,line,both,1.6466,bottom,94.0082,26.5977
1,147,142,RH,0,101.5938,-5.7219,line,one,1.7995,top,107.3157,0
1,132,128,RH,0,100.9414,-5.7983,line,one,1.9845,bottom,106.7397,0
1,19,54,RMBM,0,86.9609,-5.8185,line,both,1.7308,top,92.7794,28.1799
1,141,121,RH,0,97.4297,-5.9269,line,one,1.7315,bottom,103.3566,0
1,6,22,RLBM,0,76.0781,-6.0143,line,both,1.5791,bottom,82.0924,30.5865
1,127,137,RM,0,86.5,-6.0752,line,one,1.6968,bottom,92.5752,0
1,136,114,RM,0,88.7695,-6.2202,line,one,1.7987,top,94.9897,0
1,30,158,RHBM,0,98,-6.3519,line,both,1.6992,top,104.3519,33.644
1,28,111,RMBL,0,86.6094,-6.5296,line,both,1.9179,top,93.139,27.1233
1,126,89,RH,0,100.1875,-6.731,line,one,1.8485,bottom,106.9185,0
1,18,99,RMBL,0,85.957,-6.7429,line,both,1.6971,bottom,92.6999,27.2116
1,151,148,RM,0,87.2031,-7.1238,line,one,1.7329,bottom,94.3269,0
1,138,17,RH,0,100.5898,-7.1674,line,one,2.0681,bottom,107.7572,0
1,21,11,RLBM,0,78.7812,-7.2164,line,both,2.3039,bottom,85.9976,33.7735
1,46,45,RLBM,0,76.3242,-7.4261,line,both,2.0521,bottom,83.7503,30.5758
1,32,20,RMBH,0,83.8047,-7.5796,line,both,2.4052,top,91.3843,37.3886
1,52,10,RMBH,0,85.1484,-7.807,line,both,1.8325,bottom,92.9554,38.0958
1,123,47,RH,0,96.4375,-7.9977,line,one,1.9999,top,104.4352,0
1,15,147,RHBM,0,97.6484,-8.2401,line,both,1.5963,top,105.8885,30.4599
1,7,87,RMBH,0,85.3945,-8.4022,line,both,1.6638,bottom,93.7967,34.3951
1,29,40,RMBM,0,88.0156,-8.4996,line,both,2.203,top,96.5152,28.3366
1,60,5,RHBM,0,91.9258,-8.6436,line,both,2.135,top,100.5694,32.2521
1,59,88,RMBM,0,87.7695,-8.9839,line,both,1.9502,top,96.7534,31.858
1,12,140,RMBH,0,84.043,-9.0759,line,both,1.531,bottom,93.1189,34.3392
1,149,133,RL,0,74.3242,-9.1077,line,one,2.0344,bottom,83.4319,0
1,27,167,RMBH,0,86.5547,-9.2141,line,both,1.663,bottom,95.7688,38.8405
1,47,145,RMBH,0,82.9375,-9.2476,line,both,1.7818,bottom,92.1851,38.502
1,144,96,RH,0,97.1875,-9.4634,line,one,1.63,bottom,106.6509,0
1,44,90,RMBM,0,81.6406,-9.507,line,both,1.7985,bottom,91.1476,30.9878
1,5,105,RHBM,0,98.3789,-9.586,line,both,1.9155,bottom,107.9649,32.2422
1,35,67,RHBM,0,97.8398,-9.6384,line,both,1.8322,top,107.4782,31.7382
1,55,192,RHBM,0,96.0273,-9.7193,line,both,1.4795,bottom,105.7466,31.967
1,45,100,RHBM,0,93.1719,-9.7498,line,both,2.1356,top,102.9217,32.2482
1,25,163,RHBM,0,95.3242,-9.7559,line,both,1.9676,bottom,105.0801,33.0679
1,150,19,RH,0,95.6758,-9.7802,line,one,1.7814,bottom,105.456,0
1,40,136,RHBM,0,99.3477,-9.7984,line,both,3.887,top,109.1461,32.2044
1,17,173,RMBH,0,84.6641,-9.9625,line,both,2.0848,top,94.6266,35.1795
1,34,113,RMBM,0,84.5586,-10.196,line,both,3.9045,top,94.7546,31.7037
1,43,115,RMBL,0,84.5859,-10.3847,line,both,1.7978,bottom,94.9706,23.7733
1,49,41,RMBM,0,83.3945,-10.4844,line,both,2.1354,bottom,93.8789,29.2904
1,9,68,RMBM,0,82.0977,-10.5868,line,both,1.9332,bottom,92.6845,29.2869
1,58,69,RMBL,0,85.4531,-11.4425,line,both,1.8827,top,96.8956,27.2716
1,37,156,RMBH,0,83.75,-11.4541,line,both,1.6983,top,95.2041,34.4164
1,33,38,RMBL,0,83.4492,-11.6135,line,both,1.9163,bottom,95.0627,26.9351
1,8,39,RMBL,0,80.6406,-11.6883,line,both,1.6973,bottom,92.3289,25.0632
1,10,24,RHBM,0,93.5703,-12.3701,line,both,1.7305,bottom,105.9404,32.2511
1,48,52,RMBL,0,82.7969,-12.3935,line,both,1.7151,bottom,95.1904,24.6666
1,20,36,RHBM,0,99.8047,-12.506,line,both,2.0166,top,112.3107,31.9136
1,4,50,RMBM,0,82.1484,-13.2243,line,both,2.0674,bottom,95.3727,30.8587
1,2,91,RMBH,0,83.4492,-14.6199,line,both,2.0008,bottom,98.0691,37.8645
