id,display_figure,overlap,estimated_location,estimation_error,judge,item,rt,drew_from,correct_location_line,correct_location_bar
1,RHBM,0,52.8359,23.8129,bar,both,2.0186,top,105.7889,29.023
1,RMBL,0,48.1172,21.5329,bar,both,1.8325,top,94.1875,26.5843
1,RMBL,0,47.168,20.9275,bar,both,1.8664,top,92.5319,26.2405
1,RMBH,0,59.293,20.2511,bar,both,1.6823,top,98.4691,39.0419
1,RMBM,0,50.625,19.5068,bar,both,2.1189,top,91.7274,31.1182
1,RLBM,0,51.7305,18.6782,bar,both,2.0016,top,85.9859,33.0523
1,RMBH,0,55.1289,18.3579,bar,both,2.2205,bottom,96.0059,36.771
1,RMBM,0,52.3789,18.3122,bar,both,2.0677,top,92.3874,34.0667
1,RHBM,0,52.2734,18.1982,bar,both,2.4227,top,106.8694,34.0752
1,BL,1,43.957,18.0989,bar,one,2.2878,top,0,25.8581
1,RMBM,0,51.0273,17.8042,bar,both,2.2879,top,95.4985,33.2231
1,RMBH,0,54.4844,17.6643,bar,both,1.5129,top,93.4797,36.8201
1,RMBM,0,49.7617,17.4077,bar,both,1.8313,bottom,95.5264,32.354
1,RMBM,0,49.1172,17.1635,bar,both,2.4553,top,96.6692,31.9537
1,RLBM,0,48.3633,17.0275,bar,both,2.085,top,80.1082,31.3358
1,RLBM,0,46.8516,16.9997,bar,both,2.1858,top,79.2669,29.8519
1,BH,1,57.1875,16.5096,bar,one,2.2185,top,0,40.6779
1,RLBM,0,50.6797,16.4304,bar,both,2.0683,top,82.0633,34.2493
1,RHBM,0,45.3086,16.3369,bar,both,1.866,top,106.8213,28.9717
1,BL,1,40.9883,16.2496,bar,one,1.5629,bottom,0,24.7387
1,RLBM,0,51.2734,16.1526,bar,both,2.0344,top,86.0766,35.1208
1,RLBM,0,47.25,16.103,bar,both,2.0697,bottom,83.3487,31.147
1,BH,1,53.7852,16.0508,bar,one,1.8998,top,0,37.7344
1,RMBM,0,46.3086,16.0155,bar,both,1.8994,top,92.6648,30.2931
1,RMBL,0,44.957,15.9835,bar,both,2.0346,top,91.4443,28.9735
1,RMBH,0,53.0234,15.9784,bar,both,2.2196,bottom,90.0376,37.045
1,RHBM,0,46.0117,15.7009,bar,both,2.1525,top,104.5344,30.3108
1,RMBM,0,45.957,15.6927,bar,both,2.2704,top,94.1214,30.2643
1,RMBH,0,49.8164,15.5163,bar,both,2.3543,top,96.8655,34.3001
1,RMBL,0,41.6953,15.3954,bar,both,2.2529,top,96.3867,26.2999
1,BH,1,53.082,15.0915,bar,one,2.3208,top,0,37.9905
1,BH,1,48.7109,15.014,bar,one,3.9877,top,0,33.6969
1,RMBH,0,50.2227,14.8493,bar,both,2.0175,top,91.7819,35.3734
1,BL,1,40.9922,14.496,bar,one,4.4939,top,0,26.4962
1,RMBL,0,38.5312,14.484,bar,both,2.0181,bottom,95.0166,24.0472
1,RMBL,0,40.5312,14.4393,bar,both,1.6806,bottom,96.4946,26.0919
1,BM,1,44.9531,14.2973,bar,one,2.2527,bottom,0,30.6558
1,BL,1,41.0469,14.062,bar,one,2.2363,top,0,26.9849
1,RMBM,0,44.707,13.9709,bar,both,2.3036,bottom,93.8557,30.7361
1,RMBH,0,49.707,13.913,bar,both,1.865,bottom,91.2896,35.794
1,RHBM,0,44.0391,13.7636,bar,both,2.068,bottom,101.4101,30.2755
1,RHBM,0,41.7422,13.6855,bar,both,1.8321,bottom,102.6898,28.0567
1,BM,1,43.1523,13.6529,bar,one,2.1185,top,0,29.4994
1,BM,1,45.1992,13.6233,bar,one,1.5459,bottom,0,31.5759
1,RHBM,0,46.0117,13.5326,bar,both,2.6079,top,109.0991,32.4791
1,RMBL,0,35.3711,13.1871,bar,both,1.6804,bottom,92.8513,22.184
1,BH,1,50.8125,13.003,bar,one,1.6299,bottom,0,37.8095
1,RHBM,0,44.793,12.9767,bar,both,2.1864,bottom,105.9589,31.8163
1,BM,1,45.1992,12.9739,bar,one,1.6808,bottom,0,32.2253
1,BH,1,48.9531,12.9187,bar,one,2.1018,bottom,0,36.0344
1,RMBH,0,49.9766,12.5261,bar,both,4.611,top,95.8078,37.4505
